date, total_cases, new_confirmed, total_deaths, new_deaths
2020-01-27,1,1,0,0
2020-01-28,2,1,0,0
2020-01-29,3,1,0,0
2020-02-01,4,1,0,0
2020-02-05,5,1,0,0
2020-02-07,7,2,0,0
2020-02-18,8,1,0,0
2020-02-23,9,1,0,0
2020-02-25,10,1,0,0
2020-02-27,11,1,0,0
2020-02-29,14,3,0,0
2020-03-01,19,5,0,0
2020-03-03,27,8,0,0
2020-03-04,30,3,0,0
2020-03-06,45,15,0,0
2020-03-07,51,6,0,0
2020-03-08,57,6,0,0
2020-03-09,62,5,0,0
2020-03-10,77,15,0,0
2020-03-11,93,16,1,1
2020-03-12,93,0,1,0
2020-03-13,138,45,1,0
2020-03-14,176,38,1,0
2020-03-15,244,68,1,0
2020-03-16,304,60,1,0
2020-03-17,424,120,1,0